iter	Passed	Remaining
862	949	150
863	951	149
864	952	148
865	954	147
866	955	146
867	956	145
868	957	144
869	958	143
870	958	142
871	959	140
872	960	139
873	961	138
874	962	137
875	963	136
876	966	135
877	968	134
878	970	133
879	971	132
880	972	131
881	973	130
882	974	129
883	975	127
884	976	126
885	977	125
886	979	124
887	981	123
888	983	122
889	985	121
890	986	120
891	988	119
892	989	118
893	990	117
894	991	116
895	992	115
896	993	114
897	996	113
898	998	112
899	1000	111
900	1001	110
901	1002	108
902	1004	107
903	1005	106
904	1006	105
905	1008	104
906	1009	103
907	1010	102
908	1011	101
909	1013	100
910	1015	99
911	1015	98
912	1016	96
913	1017	95
914	1018	94
915	1019	93
916	1020	92
917	1022	91
918	1023	90
919	1025	89
920	1028	88
921	1029	87
922	1030	86
923	1032	84
924	1033	83
925	1033	82
926	1034	81
927	1036	80
928	1037	79
929	1037	78
930	1040	77
931	1042	76
932	1044	75
933	1045	73
934	1046	72
935	1046	71
936	1047	70
937	1048	69
938	1050	68
939	1051	67
940	1052	66
941	1055	64
942	1057	63
943	1059	62
944	1059	61
945	1060	60
946	1061	59
947	1062	58
948	1063	57
949	1063	55
950	1064	54
951	1065	53
952	1066	52
953	1067	51
954	1067	50
955	1069	49
956	1070	48
957	1072	47
958	1073	45
959	1074	44
960	1075	43
961	1075	42
962	1076	41
963	1077	40
964	1078	39
965	1079	37
966	1080	36
967	1080	35
968	1081	34
969	1082	33
970	1083	32
971	1085	31
972	1086	30
973	1088	29
974	1088	27
975	1089	26
976	1090	25
977	1091	24
978	1091	23
979	1092	22
980	1093	21
981	1094	20
982	1095	18
983	1096	17
984	1096	16
985	1097	15
986	1099	14
987	1100	13
988	1101	12
989	1103	11
990	1103	10
991	1104	8
992	1105	7
993	1106	6
994	1107	5
995	1108	4
996	1108	3
997	1109	2
998	1110	1
999	1111	0
